epoch,ms,label,quality,raw_rms,filt_rms,hum_pct,D_abs,T_abs,A_abs,B_abs,G_abs,D_rel,T_rel,A_rel,B_rel,G_rel,A_B_ratio,T_A_ratio
3975,3974743,Neutral,good,1337.0,3.5,0.0,434.799,8768.484,5160.680,6326.518,757.053,0.0203,0.4088,0.2406,0.2950,0.0353,0.816,1.699
3976,3975743,Neutral,good,1337.9,3.3,0.0,4618.932,4586.896,1900.710,2356.186,544.249,0.3298,0.3275,0.1357,0.1682,0.0389,0.807,2.413
3977,3976743,Neutral,good,1336.6,3.1,0.0,15995.668,1792.521,144.729,865.609,783.026,0.8169,0.0915,0.0074,0.0442,0.0400,0.167,12.385
3978,3977743,Neutral,good,1331.0,5.1,0.0,25192.020,2388.975,1481.745,2872.608,3965.477,0.7017,0.0665,0.0413,0.0800,0.1105,0.516,1.612
3979,3978743,Neutral,good,1329.6,4.1,0.0,2871.496,1258.474,6264.183,4889.344,1914.572,0.1670,0.0732,0.3642,0.2843,0.1113,1.281,0.201
3980,3979743,Neutral,good,1329.9,3.4,0.0,8681.662,3228.555,1345.888,2565.585,868.050,0.5202,0.1934,0.0806,0.1537,0.0520,0.525,2.399
3981,3980743,Neutral,good,1331.0,4.7,0.0,7552.746,2547.160,366.404,6575.151,2440.287,0.3877,0.1307,0.0188,0.3375,0.1253,0.056,6.952
3982,3981743,Neutral,good,1331.7,4.7,0.0,13246.769,6158.192,2574.795,5955.910,2962.137,0.4287,0.1993,0.0833,0.1928,0.0959,0.432,2.392
3983,3982743,Neutral,good,1331.2,3.6,0.0,1850.546,7086.597,6675.221,8523.628,871.710,0.0740,0.2834,0.2669,0.3408,0.0349,0.783,1.062
3984,3983743,Neutral,good,1331.2,2.7,0.0,3615.717,1350.594,492.297,2366.456,2972.505,0.3349,0.1251,0.0456,0.2192,0.2753,0.208,2.743
3985,3984743,Neutral,good,1330.2,2.8,0.0,2157.950,2590.342,1814.776,3075.530,680.336,0.2091,0.2510,0.1759,0.2980,0.0659,0.590,1.427
3986,3985743,Neutral,good,1331.0,3.5,0.0,14730.312,8443.384,6467.376,4241.918,3268.321,0.3965,0.2273,0.1741,0.1142,0.0880,1.525,1.306
3987,3986743,Neutral,good,1330.9,3.3,0.0,339.921,281.769,439.361,4320.007,868.804,0.0544,0.0451,0.0703,0.6912,0.1390,0.102,0.641
3988,3987743,Neutral,good,1330.6,3.6,0.0,10760.358,6568.914,3050.987,5115.865,972.595,0.4065,0.2482,0.1153,0.1933,0.0367,0.596,2.153
3989,3988742,Neutral,good,1331.6,4.0,0.0,6792.103,4419.835,3605.844,9561.899,5284.799,0.2290,0.1490,0.1216,0.3223,0.1782,0.377,1.226
